sentence	label   posb    pose
[CLS] but the  [0b] staff [0e]  was so horrible to us . [SEP]	0	3	5
[CLS] to be completely fair , the only redeeming factor was the  [0b] food [0e]  , which was above average , but could n't make up for all the other deficiencies of teodora . [SEP]	2	14	16
[CLS] the  [0b] food [0e]  is uniformly exceptional , with a very capable  [1b] kitchen [1e]  which will proudly whip up whatever you feel like eating , whether it 's on the  [2b] menu [2e]  or not . [SEP]	2	2	4
[CLS] the  [0b] food [0e]  is uniformly exceptional , with a very capable  [1b] kitchen [1e]  which will proudly whip up whatever you feel like eating , whether it 's on the  [2b] menu [2e]  or not . [SEP]	2	13	15
[CLS] the  [0b] food [0e]  is uniformly exceptional , with a very capable  [1b] kitchen [1e]  which will proudly whip up whatever you feel like eating , whether it 's on the  [2b] menu [2e]  or not . [SEP]	1	33	35
[CLS] not only was the  [0b] food [0e]  outstanding , but the little ` perks ' were great . [SEP]	2	5	7
[CLS] not only was the food outstanding , but the little '  [0b] perks [0e]  ' were great . [SEP]	2	12	15
[CLS] our agreed favorite is the  [0b] orrechiete with sausage and chicken [0e]  -lrb- usually the  [1b] waiters [1e]  are kind enough to split the  [3b] dish [3e]  in half so you get to sample both  [2b] meats [2e]  -rrb- . [SEP]	2	6	15
[CLS] our agreed favorite is the  [0b] orrechiete with sausage and chicken [0e]  -lrb- usually the  [1b] waiters [1e]  are kind enough to split the  [3b] dish [3e]  in half so you get to sample both  [2b] meats [2e]  -rrb- . [SEP]	2	22	25
[CLS] our agreed favorite is the  [0b] orrechiete with sausage and chicken [0e]  -lrb- usually the  [1b] waiters [1e]  are kind enough to split the  [3b] dish [3e]  in half so you get to sample both  [2b] meats [2e]  -rrb- . [SEP]	1	43	46
[CLS] our agreed favorite is the  [0b] orrechiete with sausage and chicken [0e]  -lrb- usually the  [1b] waiters [1e]  are kind enough to split the  [3b] dish [3e]  in half so you get to sample both  [2b] meats [2e]  -rrb- . [SEP]	1	32	34
[CLS] the  [0b] bagels [0e]  have an outstanding taste with a terrific texture , both chewy yet not gummy . [SEP]	2	2	5
[CLS] nevertheless the  [0b] food [0e]  itself is pretty good . [SEP]	2	3	5
[CLS] i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese  [0b] songs [0e]  , black sabbath , jay-z , and daft punk all being played . [SEP]	1	20	22
[CLS] they did not have  [1b] mayonnaise [1e]  , forgot our  [0b] toast [0e]  , left out  [4b] ingredients [4e]  -lrb- ie  [3b] cheese [3e]  in an  [6b] omelet [6e]  -rrb- , below hot temperatures and the  [2b] bacon [2e]  was so over cooked it crumbled on the  [5b] plate [5e]  when you touched it . [SEP]	0	13	15
[CLS] they did not have  [1b] mayonnaise [1e]  , forgot our  [0b] toast [0e]  , left out  [4b] ingredients [4e]  -lrb- ie  [3b] cheese [3e]  in an  [6b] omelet [6e]  -rrb- , below hot temperatures and the  [2b] bacon [2e]  was so over cooked it crumbled on the  [5b] plate [5e]  when you touched it . [SEP]	0	5	9
[CLS] they did not have  [1b] mayonnaise [1e]  , forgot our  [0b] toast [0e]  , left out  [4b] ingredients [4e]  -lrb- ie  [3b] cheese [3e]  in an  [6b] omelet [6e]  -rrb- , below hot temperatures and the  [2b] bacon [2e]  was so over cooked it crumbled on the  [5b] plate [5e]  when you touched it . [SEP]	0	47	49
[CLS] they did not have  [1b] mayonnaise [1e]  , forgot our  [0b] toast [0e]  , left out  [4b] ingredients [4e]  -lrb- ie  [3b] cheese [3e]  in an  [6b] omelet [6e]  -rrb- , below hot temperatures and the  [2b] bacon [2e]  was so over cooked it crumbled on the  [5b] plate [5e]  when you touched it . [SEP]	1	27	29
[CLS] they did not have  [1b] mayonnaise [1e]  , forgot our  [0b] toast [0e]  , left out  [4b] ingredients [4e]  -lrb- ie  [3b] cheese [3e]  in an  [6b] omelet [6e]  -rrb- , below hot temperatures and the  [2b] bacon [2e]  was so over cooked it crumbled on the  [5b] plate [5e]  when you touched it . [SEP]	0	19	21
[CLS] they did not have  [1b] mayonnaise [1e]  , forgot our  [0b] toast [0e]  , left out  [4b] ingredients [4e]  -lrb- ie  [3b] cheese [3e]  in an  [6b] omelet [6e]  -rrb- , below hot temperatures and the  [2b] bacon [2e]  was so over cooked it crumbled on the  [5b] plate [5e]  when you touched it . [SEP]	1	60	62
[CLS] they did not have  [1b] mayonnaise [1e]  , forgot our  [0b] toast [0e]  , left out  [4b] ingredients [4e]  -lrb- ie  [3b] cheese [3e]  in an  [6b] omelet [6e]  -rrb- , below hot temperatures and the  [2b] bacon [2e]  was so over cooked it crumbled on the  [5b] plate [5e]  when you touched it . [SEP]	1	32	36
[CLS] it took half an hour to get our  [1b] check [1e]  , which was perfect since we could sit , have  [0b] drinks [0e]  and talk ! [SEP]	1	22	24
